case_number,case_summary,lang_info,case_created_date,case_typ,case_injury_typ,case_txt,country_nme,case_supervisor_nme,case_root_cause_txt,case_immediate_cause_desc,case_unsafe_act_desc,mgmt_sys_failure_desc,case_corrective_txt,case_status,case_cmts,case_clousre_inv_complete_date,case_root_cause_desc,case_reported_date,case_report_year,case_level_severity,primary_business,primary_business_segment,site_location_nme,region,case_followup_flag,month,month_year,quarter
9672,"The employee accidentally slipped on the rainwater well cover on the way to the tool center to collect things. The right foot felt pain, and the rest would still feel pain. The team leader took the staff to the Chinese medicine hospital for examination. After the filming diagnosis, no abnormality was found, and then returned to work to continue working.",en,2019-01-04T00:00:00.000Z,Injury,Sprain,员工在去工具中心领用东西的途中，不小心滑倒在雨水井盖上，右脚感觉疼痛，休息会还是感觉疼。班组长将员工带往中医院检查，经过拍片诊断，未发现异常，随后返回工作岗位继续工作。,China,Haifeng Zhang,,,,Unknown,,0,见附件,2.0190111E7,,2019-01-04T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Qinhuangdao,Greater China,Yes,1,2019-1,Q1-2019
9673,"When the employee came out of the toilet on the west side of the team leader's office, because of the ice at the door, they accidentally slipped and felt pain in the waist. After a rest, they felt pain.",en,2019-01-09T00:00:00.000Z,Injury,Sprain,员工在班组长办公室西侧厕所出来时，由于门口有冰，不小心滑倒，感觉腰部疼痛，休息一会后还感觉疼痛,China,Lianchen Mao,,,,Unknown,,0,见附件,2.0190111E7,,2019-01-09T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Qinhuangdao,Greater China,Yes,1,2019-1,Q1-2019
9674,"After the staff finished the blade landing, they suddenly felt pain in the waist while walking, unable to stand on the ground, and then checked, there was no abnormality in the body",en,2019-01-09T00:00:00.000Z,Injury,Other,员工完成叶片落地后，在行走过程中突然感觉腰部疼痛，蹲在地上无法站立，随后检查，身体无任何异常,China,Xu Yang,,,,Unknown,,0,非工作相关的事故，且检查无任何异常。,2.0190117E7,,2019-01-09T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Qinhuangdao,Greater China,Yes,1,2019-1,Q1-2019
9675,"EE was cleaning 2X gearbox with citrus king and rags.  While cleaning, citrus king made contact with EEs forehead and entered left eye.  EE utilized eyewash station in Paint Booth, reported incident and 1st Shift Supervisor escorted EE to clinic for further evaluation.  EE returned to work with no restrictions or issues after being cleared by nurse.",en,2019-01-09T00:00:00.000Z,Injury,Eye Irritation,"EE was cleaning 2X gearbox with citrus king and rags.  While cleaning, citrus king made contact with EEs forehead and entered left eye.  EE utilized eyewash station in Paint Booth, reported incident and 1st Shift Supervisor escorted EE to clinic for further evaluation.  EE returned to work with no restrictions or issues after being cleared by nurse.",US,James Fountain,Position and proximity of face to equipment being prepped allowed for cleaning chemical to make contact with forehead and enter eye,Spilled/splashed chemicals or leaking containers,,Chemical Management,Covered incident with all employees performing this task and reinforced importance of body position while cleaning equipment.  Coached employees on not to use over saturated rags when cleaning.,0,Incident closed,2.0190214E7,Work environment not controlled by GE,2019-01-09T00:00:00.000Z,2019,Level D,GE Renewable Energy,On-Shore Wind,"Pensacola, FL, USA",US,Yes,1,2019-1,Q1-2019
9676,"Skulle trække slange af studs på vacuumpumpe til PJSA. Slangen sidder fast. Slidser den op med en hobbykniv, kniven smutter og skærerpegefinger, venstre hånd.",da,2019-01-10T00:00:00.000Z,Injury,"Laceration, Cut, Open Wound","Skulle trække slange af studs på vacuumpumpe til PJSA. Slangen sidder fast. Slidser den op med en hobbykniv, kniven smutter og skærerpegefinger, venstre hånd.",Denmark,Michael Henningsen,At opgaven udføres således at der skæres ind mod sin egen hånd,"Sharp edge on part, workstation, or equipment",Equipment/tool used improperly,Risk Assessment,"Melder ud til alle ansatte, at der ikke må skæres med en kniv mod en hånd eller anden legemsdel",0,Information for all employees done,2.0190111E7,"Inadequate job planning, instruction, supervision",2019-01-10T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Pilot Plant,EU/SSA,Yes,1,2019-1,Q1-2019
9677,"The employee was running the roundabout to get into the companys first gate when he was hit by a car coming from the right side of the avenue. The medical service was activated and first aid was performed at the crash site. There were no serious injuries. / O funcionário estava realizando a rotatória para entrar no primeiro portão da  empresa, quando foi atingido por um carro que vinha do lado direito da avenida. O serviço médico foi acionado e os primeiros socorros foram realizados no local da colisão. Não houve ferimentos graves.",pt,2019-01-09T00:00:00.000Z,Injury,"Abrasion, Scratches (superficial)","The employee was running the roundabout to get into the companys first gate when he was hit by a car coming from the right side of the avenue. The medical service was activated and first aid was performed at the crash site. There were no serious injuries. / O funcionário estava realizando a rotatória para entrar no primeiro portão da  empresa, quando foi atingido por um carro que vinha do lado direito da avenida. O serviço médico foi acionado e os primeiros socorros foram realizados no local da colisão. Não houve ferimentos graves.",Brazil,LUCAS Leiva De Gouvea,"Acidente de Trajeto:
Motorista não obedeceu o sinal de pare e bateu o carro contra a moto do funcionário da GE",,Operated vehicle improperly,Event Analysis,,0,Acidente de trajeto. Operador foi socorrido de imediato e encaminhado para atendimento hospitalar. Sofreu pequenos arranhões e retornou ao trabalho no dia seguinte.,2.0190111E7,,2019-01-09T00:00:00.000Z,2019,Level D,GE Renewable Energy,Hydro,"Hydro - Taubate, Brazil",LATAM,Yes,1,2019-1,Q1-2019
9678,"Operatör vardiya başında toz emiş hortumunu zemine bırakırken, template arabasının bozuk olması nedeniyle finish malzeme dolabının üstten ikinci rafına konulan templatelere alnını çarpmıştır.",tr,2019-01-10T00:00:00.000Z,Injury,"Contusion, Bruise","Operatör vardiya başında toz emiş hortumunu zemine bırakırken, template arabasının bozuk olması nedeniyle finish malzeme dolabının üstten ikinci rafına konulan templatelere alnını çarpmıştır.",Turkey,Semiha Ulucenk,"Konumlandırma alanının malzeme büyüklüğüne göre uygun olmaması
Malzeme büyüklüğü nedeniyle konumlandırıldığı alandan taşması
Malzemelerein Malzeme arabasının bozuk olduğu durumlarda düşme tehlikesi olan alanlara konulması","Housekeeping, unsafe placement, slip/trip hazards",Employee awareness/attentiveness,Housekeeping & Inspection Programs,Önlem alındı.,0,Önlem alındı,2.0190207E7,Inadequate procedures/work instructions/work standards,2019-01-10T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Bergama,MENAT,Yes,1,2019-1,Q1-2019
9679,"On November 1, 2019, at around 15:40, the first-stage employee, Cai Hongxing, felt pain in the waist while shaving Filler, and still felt pain after taking a break.",en,2019-01-12T00:00:00.000Z,Injury,Sprain,2019.1.11日，15:40左右一期员工蔡宏兴，在刮Filler过程中感觉腰部疼痛，休息一段时间感觉还是有疼痛感，,China,Botao Zhang,员工在刮填料过程中感觉腰部疼痛，休息一段时间感觉还是有疼痛感，,Ergonomically inadequate workstation or rotation,Improper force / posture / position,Risk Assessment,,0,已关闭，详情见附件,2.0190113E7,Inadequate communication,2019-01-12T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Qinhuangdao,Greater China,Yes,1,2019-1,Q1-2019
9680,"仓库员工在1月12日，在仓库搬运硬化剂的时候不慎摔到，伤到腰部。立即送往医院进行检查，拍完片后，急诊大夫诊断无异常，但员工依然疼痛。正在安排核磁检查，有进一步消息会继续更新报告。At 8:05 am on Jan. 12th , operator prepared hardener for delivery to production by himself. He was lifting one plastic barrel (25kg) from ground to put into the stainless steel box on the pallet. The operator lost his balance (no water, no obstacles, no slippery ground) when he put the barrel into the middle of box and fell down to hit the edge of the steel box (stated by operator himself. No monitor, no witness). He was sent to the hospital and X-ray was arranged immediately, the result shows no bone crack or other injury. CT & MRI were arranged and result to be released on Jan. 14th, so we had to finished hospitalization procedures first.  The CT & MRI were completed at 12:30 on Jan. 12th and inspection report was released at 10:50 am on Jan. 14th. No surgery needed beside some no present illnesses(NPI) detected, but physical therapy was suggested by doctor orally. follow up： This incident was identified as work related injury according to the China regulation, but the conclusion is “Bruise”, no further inspection or evaluation needed due to the injury is very light. The work related injury assessment doctor told us: no any injury to the bone or nerve, no any further medical treatment needed for this case. This assessment result base on the MRI and CT which taken just after the incident happened.  We record it as level C at beginning, because he stay in the hospital, but according to result from government and doctor, It’s only bruise, no medical treatment needed, and we also required hospital and our employee to provide therapeutic regimen, we got nothing.  After the evaluation by the EHS team,  it should be level D.",en,2019-01-12T00:00:00.000Z,Injury,Sprain,"仓库员工在1月12日，在仓库搬运硬化剂的时候不慎摔到，伤到腰部。立即送往医院进行检查，拍完片后，急诊大夫诊断无异常，但员工依然疼痛。正在安排核磁检查，有进一步消息会继续更新报告。At 8:05 am on Jan. 12th , operator prepared hardener for delivery to production by himself. He was lifting one plastic barrel (25kg) from ground to put into the stainless steel box on the pallet. The operator lost his balance (no water, no obstacles, no slippery ground) when he put the barrel into the middle of box and fell down to hit the edge of the steel box (stated by operator himself. No monitor, no witness). He was sent to the hospital and X-ray was arranged immediately, the result shows no bone crack or other injury. CT & MRI were arranged and result to be released on Jan. 14th, so we had to finished hospitalization procedures first.  The CT & MRI were completed at 12:30 on Jan. 12th and inspection report was released at 10:50 am on Jan. 14th. No surgery needed beside some no present illnesses(NPI) detected, but physical therapy was suggested by doctor orally. follow up： This incident was identified as work related injury according to the China regulation, but the conclusion is “Bruise”, no further inspection or evaluation needed due to the injury is very light. The work related injury assessment doctor told us: no any injury to the bone or nerve, no any further medical treatment needed for this case. This assessment result base on the MRI and CT which taken just after the incident happened.  We record it as level C at beginning, because he stay in the hospital, but according to result from government and doctor, It’s only bruise, no medical treatment needed, and we also required hospital and our employee to provide therapeutic regimen, we got nothing.  After the evaluation by the EHS team,  it should be level D.",China,Hanbing Li,员工在仓库搬运硬化剂的时候不慎摔到，伤到腰部,Ergonomically inadequate workstation or rotation,Improper force / posture / position,Risk Assessment,".Evaluate and decide what kind of movable lifting equipment in place to reduce manual lifting / moving activities on heavy materials which are still under upper  weight limit (25kg) .Evaluate and install anti-explosion monitor if feasible in hardener warehouse to know more operation inside for further investigation and lesson learnt .Discuss with supplier whether they can make smaller package for hardener, which makes lifting / movement easier and safer. .Put rubber / foam protection on the edge of steel box .Compile the procedure and train every operator to know what is the right operation when lifting by hand to move materials .Stand down with all employees / to emphasize the procedure & operation of lifting / moving  materials",0,详情见附件,2.0190408E7,Work environment not controlled by GE,2019-01-12T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Qinhuangdao,Greater China,Yes,1,2019-1,Q1-2019
9681,The worker don´t pay attention to the work and put his hand over the roll in movement over the glass fiber roller and the machine trapped his glove he inside his small finger left hand between the roll and iron protection to don´t have entrapment. (0.5cm). I cant stop the machine because I cant reach the emergency stop button. (very long of his position in the machine) Other colleague stop the machine and help to liberate the finger. FYI. The medical service report the accident as RWC but the worker doesn´t accept the RWC only LTA.,en,2019-01-11T00:00:00.000Z,Injury,Fracture,The worker don´t pay attention to the work and put his hand over the roll in movement over the glass fiber roller and the machine trapped his glove he inside his small finger left hand between the roll and iron protection to don´t have entrapment. (0.5cm). I cant stop the machine because I cant reach the emergency stop button. (very long of his position in the machine) Other colleague stop the machine and help to liberate the finger. FYI. The medical service report the accident as RWC but the worker doesn´t accept the RWC only LTA.,Spain,Miguel Samo Trillo,The worker don´t pay attention to the work and put his hand over the roll in movement over the glass fiber roller and the machine trapped his glove he inside his small finger left hand between the roll and iron protection to don´t have entrapment. (0.5cm). I cant stop the machine because I cant reach the emergency stop button. (very long of his position in the machine) Other colleague stop the machine and help to liberate the finger. FYI. The medical service report the accident as RWC but the worker doesn´t accept the RWC only LTA.,"Inadequate guards, barriers, or warning system",Employee awareness/attentiveness,Machine Safety / Guarding,Assess improve possible on safety barrier in the machine with the provider,0,Evaluated possible with successful and On go extra barrier  Improve and safety barrier in this machine,2.0190207E7,Inadequate Control System Setup or Failure,2019-01-11T00:00:00.000Z,2019,Level C,GE Renewable Energy,LM Wind Power,Ponferrada,EU/SSA,Yes,1,2019-1,Q1-2019
9682,Rootplate temizliği sırasında gözüne kimyasal kaçmıştır.,tr,2019-01-15T00:00:00.000Z,Injury,Eye Irritation,Rootplate temizliği sırasında gözüne kimyasal kaçmıştır.,Turkey,Deniz Yener,Uygun KKD kullanmamak.,Spilled/splashed chemicals or leaking containers,Proper PPE not used for task,Chemical Management,İşe uygun kkd kullanımın sağlanması  Kimyasal uygulamalarda Tam Yüz maske kullanımı ile ilgili tek not dersi hazırlanması,0,416 ats ile kaza aksiyonları alınmıştır.Teşekkürler,2.0190128E7,Inadequate procedures/work instructions/work standards,2019-01-15T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Bergama,MENAT,Yes,1,2019-1,Q1-2019
9683,"Operator sustained injury over left shoulder arm rib due to catwalk fallen, during catwalk movement & assembly in mold 56.0 .",en,2019-01-15T00:00:00.000Z,Injury,"Abrasion, Scratches (superficial)","Operator sustained injury over left shoulder arm rib due to catwalk fallen, during catwalk movement & assembly in mold 56.0 .",India,Prajwal M B,"After demolding operator was involved in reassembling catwalk to up wind, while moving catwalk number # 9 of Trailing side he didnt noticed uneven surface of floor, when catwalk moved on top of it he unable to hold catwalk falling obver him. which resulted in laceration injury & pain.","Housekeeping, unsafe placement, slip/trip hazards",Inadequate check for obstacles in vehicle path,Machine Safety / Guarding,"1. Floor uneven to be corrected . 2. Minimum two persons required to move catwalks , for assembly & disassembly 3.  Follow job instruction, effective supervision to be ensured",0,All the corrective actions are in place .,2.019022E7,"Inadequate job planning, instruction, supervision",2019-01-15T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Dabaspet,ASEAN/India/JP/KR,Yes,1,2019-1,Q1-2019
9684,Bruised right shoulder and upper arm.  He was walking between the molds and tripped on the IV line used to suck down the bolts.,en,2019-01-11T00:00:00.000Z,Injury,"Contusion, Bruise",Bruised right shoulder and upper arm.  He was walking between the molds and tripped on the IV line used to suck down the bolts.,US,Tony Siddle,Control /5S,Congested or tight space,Employee awareness/attentiveness,Housekeeping & Inspection Programs,Have coached team on IV line place,0,Have coached team on IV line place,2.0190115E7,Inadequate Control System Setup or Failure,2019-01-11T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Grand Forks,US,Yes,1,2019-1,Q1-2019
9685,When: 2019/1/15 16:10 PM  Where: Blade storage yard Who: 62.2 11# post molding (Grinding team)  What: The injured employee was pushing a tools cart with purpose of blade repair requirement in the yard area. and he proposed that pass through from the beneath space of blade to arrive the destination directly for saving some time. The wheels of cart was stuck in the sand while passing the blade. He squatted down and want to pull the cart out from the sand and his head was hit by blades sharp when he stand up.  His shift leader found employee got injury and made medical treatment immediately. The employees eyebrows got a minor scratch. he has return to work now.,en,2019-01-15T00:00:00.000Z,Injury,"Abrasion, Scratches (superficial)",When: 2019/1/15 16:10 PM  Where: Blade storage yard Who: 62.2 11# post molding (Grinding team)  What: The injured employee was pushing a tools cart with purpose of blade repair requirement in the yard area. and he proposed that pass through from the beneath space of blade to arrive the destination directly for saving some time. The wheels of cart was stuck in the sand while passing the blade. He squatted down and want to pull the cart out from the sand and his head was hit by blades sharp when he stand up.  His shift leader found employee got injury and made medical treatment immediately. The employees eyebrows got a minor scratch. he has return to work now.,China,Likun Lan,"1. Employee selected a totally wrong and forbidden way as access (cross the beneath of blade) 
2. Lack of EHS awareness due to very new comers (just on board within 1 month)",,Employee awareness/attentiveness,Training Management,1. Stop the work 2. Re-train and qualify the employee  3. Communicate the case with all affected employees,0,All done.,2.0190221E7,,2019-01-15T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Baodi,Greater China,Yes,1,2019-1,Q1-2019
9686,"When: 2019/1/16 9:30 AM First Shift Where: BWS2 42.5 Molding  Who: 42.5 Closure team  What: A unexpected contact happened between the running grinding disc and injured employees right leg when he was grinding in the blade roof area (grinding & repair before closure) , which caused by he slipped suddenly.",en,2019-01-16T00:00:00.000Z,Injury,"Abrasion, Scratches (superficial)","When: 2019/1/16 9:30 AM First Shift Where: BWS2 42.5 Molding  Who: 42.5 Closure team  What: A unexpected contact happened between the running grinding disc and injured employees right leg when he was grinding in the blade roof area (grinding & repair before closure) , which caused by he slipped suddenly.",China,Ye Tian,"1. Grinding dust gather in the surface of mold, which increase slipping risk 
2. Current gloves is unable to provide proper anti-slipping protection 
3. Lack of enough skill and experiencer (only 3 months such work experience)","Housekeeping, unsafe placement, slip/trip hazards",Employee awareness/attentiveness,Training Management,1. Initiate basic safety operating rules for grinding works  2. Organize all affected with EHS alert communication  3. Requalify the new comers  4. Consider new PPE which is enable to provide proper anti-slipping protection,0,1.  Basic safety rules for Grinding has been initiated and cascaded to all affected employees  2.  New safety shoes with anti-slipping will be approach,2.0190221E7,,2019-01-16T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Baodi,Greater China,Yes,1,2019-1,Q1-2019
9687,Laceration to right hand index figure requiring 4 stitches. Employee was using a scissor trimming glass from the edge of the web mold and cut his finger.,en,2019-01-14T00:00:00.000Z,Injury,"Laceration, Cut, Open Wound",Laceration to right hand index figure requiring 4 stitches. Employee was using a scissor trimming glass from the edge of the web mold and cut his finger.,US,Mark Danielson,Lack of training and hand placement was wrong,"Sharp edge on part, workstation, or equipment",Employee awareness/attentiveness,Training Management,Use a version of cut resistance gloves.,0,Closed,2.0190418E7,Inadequate procedures/work instructions/work standards,2019-01-14T00:00:00.000Z,2019,Level C,GE Renewable Energy,LM Wind Power,Grand Forks,US,Yes,1,2019-1,Q1-2019
